facet,item_i,item_i_text,item_j,item_j_text,pair_r,pair_vs_rest_r
N6_Vulnerability,h1281_R,"Know how to
cope.",h901,"Can't make up
my mind.",0.229606543690317,0.5994603385148942
N6_Vulnerability,h1281_R,"Know how to
cope.",h948,Panic easily.,0.3687488980662572,0.6767314953183309
N6_Vulnerability,h1281_R,"Know how to
cope.",h950,"Get overwhelmed
by emotions.",0.2812882498094469,0.6254443323478851
N6_Vulnerability,h1281_R,"Know how to
cope.",h954,"Feel that I'm
unable to deal with things.",0.3644737450454608,0.6117775693138139
N6_Vulnerability,h1281_R,"Know how to
cope.",h959,"Become
overwhelmed by events.",0.3427938272978923,0.6734359237252167
N6_Vulnerability,h1281_R,"Know how to
cope.",x79_R,"Remain calm
under pressure.",0.3874565629623621,0.6343088525957447
N6_Vulnerability,h44_R,"Readily
overcome setbacks.",h470_R,"Can handle
complex problems.",0.3135154911824426,0.5921757851214858
N6_Vulnerability,h44_R,"Readily
overcome setbacks.",h901,"Can't make up
my mind.",0.1526297315024492,0.5980505256844086
N6_Vulnerability,h44_R,"Readily
overcome setbacks.",h948,Panic easily.,0.3183728492162362,0.6614589708101336
N6_Vulnerability,h44_R,"Readily
overcome setbacks.",h950,"Get overwhelmed
by emotions.",0.281130544910973,0.5883689517475187
N6_Vulnerability,h44_R,"Readily
overcome setbacks.",h954,"Feel that I'm
unable to deal with things.",0.3733868877953872,0.5697037991045085
N6_Vulnerability,h44_R,"Readily
overcome setbacks.",h959,"Become
overwhelmed by events.",0.3178826525838493,0.6463395835660616
N6_Vulnerability,h44_R,"Readily
overcome setbacks.",x79_R,"Remain calm
under pressure.",0.3392299457681725,0.615385034161247
N6_Vulnerability,h470_R,"Can handle
complex problems.",h901,"Can't make up
my mind.",0.342610203110173,0.5509884831988965
N6_Vulnerability,h470_R,"Can handle
complex problems.",h948,Panic easily.,0.369193551638022,0.681457449538125
N6_Vulnerability,h470_R,"Can handle
complex problems.",h950,"Get overwhelmed
by emotions.",0.2345968449913271,0.6521107800636089
N6_Vulnerability,h470_R,"Can handle
complex problems.",h954,"Feel that I'm
unable to deal with things.",0.2772430541823285,0.6572473974765778
N6_Vulnerability,h470_R,"Can handle
complex problems.",h959,"Become
overwhelmed by events.",0.344313366534268,0.6772492378670885
N6_Vulnerability,h470_R,"Can handle
complex problems.",x79_R,"Remain calm
under pressure.",0.3990280750394092,0.6343565956207179
N6_Vulnerability,h901,"Can't make up
my mind.",h948,Panic easily.,0.358129071839624,0.6127126041536864
N6_Vulnerability,h901,"Can't make up
my mind.",h950,"Get overwhelmed
by emotions.",0.2767686972582867,0.5752008213943465
N6_Vulnerability,h901,"Can't make up
my mind.",h954,"Feel that I'm
unable to deal with things.",0.3496263634158896,0.5558799014980832
N6_Vulnerability,h901,"Can't make up
my mind.",h959,"Become
overwhelmed by events.",0.3944801038449115,0.5813111106330643
N6_Vulnerability,h901,"Can't make up
my mind.",x79_R,"Remain calm
under pressure.",0.2483286603247211,0.6308537832129555
N6_Vulnerability,h948,Panic easily.,h950,"Get overwhelmed
by emotions.",0.4026778155424645,0.6349285393661754
N6_Vulnerability,h948,Panic easily.,h954,"Feel that I'm
unable to deal with things.",0.3740271534779154,0.6774063147842019
N6_Vulnerability,h948,Panic easily.,h959,"Become
overwhelmed by events.",0.4226410166144325,0.7007869917300962
N6_Vulnerability,h948,Panic easily.,x79_R,"Remain calm
under pressure.",0.4117795980013004,0.6907548158662271
N6_Vulnerability,h950,"Get overwhelmed
by emotions.",h954,"Feel that I'm
unable to deal with things.",0.3246177427449986,0.6162615633950498
N6_Vulnerability,h950,"Get overwhelmed
by emotions.",h959,"Become
overwhelmed by events.",0.4218913623029816,0.6113733638109594
N6_Vulnerability,h950,"Get overwhelmed
by emotions.",x79_R,"Remain calm
under pressure.",0.3099164451605866,0.6488487268190534
N6_Vulnerability,h954,"Feel that I'm
unable to deal with things.",h959,"Become
overwhelmed by events.",0.3893865266021682,0.6546510924608436
N6_Vulnerability,h954,"Feel that I'm
unable to deal with things.",x79_R,"Remain calm
under pressure.",0.2865379240451176,0.68774289954791
N6_Vulnerability,h959,"Become
overwhelmed by events.",x79_R,"Remain calm
under pressure.",0.3406506140549621,0.7114576907571009
